name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Mereta,15488,Valid,Stony,Ordinary,H4,1417.5,Found,1941-01-01,31.42611,-100.13333,"(31.426110, -100.133330)"
Laundry West,12739,Valid,Stony,Ordinary,L4,4002,Found,1967-01-01,-31.46667,126.93333,"(-31.466670, 126.933330)"
Fuhe,52412,Valid,Stony,Ordinary,L5,23000,Fell,1945-01-01,31.47556,113.56694,"(31.475560, 113.566940)"
Bir Zar 001,48904,Valid,Stony,Ordinary,H6,627,Found,2008-01-01,31.481,9.84069,"(31.481000, 9.840690)"
Istifane 003,44893,Valid,Stony,Ordinary,L5,18.5,Found,2005-01-01,31.48583,-5.71712,"(31.485830, -5.717120)"
Binneringie,55546,Valid,Stony,Ordinary,H5,9056,Found,1946-01-01,-31.4875,122.12389,"(-31.487500, 122.123890)"
Istifane 002,44892,Valid,Stony,Ordinary,H5,40,Found,2005-01-01,31.49848,-5.7174,"(31.498480, -5.717400)"
Istifane 001,44891,Valid,Stony,Ordinary,H4,131.6,Found,2005-01-01,31.49852,-5.71742,"(31.498520, -5.717420)"
Bir Zar 003,48906,Valid,Stony,Ordinary,H3,39,Found,2008-01-01,31.49972,9.87722,"(31.499720, 9.877220)"
Istifane 004,44894,Valid,Stony,Ordinary,H5,10.8,Found,2006-01-01,31.50275,-5.71527,"(31.502750, -5.715270)"
Laundry Rockhole,12738,Valid,Stony,Ordinary,H5,1443,Found,1967-01-01,-31.53333,127.01667,"(-31.533330, 127.016670)"
Laundry East,12737,Valid,Stony,Ordinary,H3.7,43.1,Found,1967-01-01,-31.53333,127.1,"(-31.533330, 127.100000)"
El-Oued,47729,Valid,Stony,Ordinary,H4,2305,Found,1952-01-01,31.533333,8.883333,"(31.533333, 8.883333)"
Santa Lucia (2008),50909,Valid,Stony,Ordinary,L6,4000,Fell,2008-01-01,-31.535556,-68.489444,"(-31.535556, -68.489444)"
Karloowala,12263,Valid,Stony,Ordinary,L6,2950,Fell,1955-01-01,31.58333,71.6,"(31.583330, 71.600000)"
Hamilton (Texas),11484,Valid,Stony,Ordinary,OC,2700,Found,1965-01-01,31.59333,-98.25,"(31.593330, -98.250000)"
Arivaca,47346,Valid,Stony,Achondrites,Eucrite-mmict,30.1,Found,1999-01-01,31.59391,-111.37023,"(31.593910, -111.370230)"
Karee Kloof,12259,Valid,Iron,Primitive Achondrites,"Iron, IAB-sLL",92100,Found,1914-01-01,-31.6,25.8,"(-31.600000, 25.800000)"
Aguada,398,Valid,Stony,Ordinary,L6,1620,Fell,1930-01-01,-31.6,-65.23333,"(-31.600000, -65.233330)"
Kandahar (Afghanistan),12243,Valid,Stony,Ordinary,L6,299,Fell,1959-01-01,31.6,65.78333,"(31.600000, 65.783330)"
Monahans (1998),16719,Valid,Stony,Ordinary,H5,2587,Fell,1998-01-01,31.60833,-102.85833,"(31.608330, -102.858330)"
Fuzzy Creek,10841,Valid,Iron,Achondrites,"Iron, IVA",2700,Found,,31.61111,-99.90417,"(31.611110, -99.904170)"
Suizhou,23738,Valid,Stony,Ordinary,L6,260000,Fell,1986-01-01,31.61667,113.46667,"(31.616670, 113.466670)"
Baandee,4914,Valid,Stony,Ordinary,H6,256.3,Found,1967-01-01,-31.61667,118.03333,"(-31.616670, 118.033330)"
Baroti,4949,Valid,Stony,Ordinary,L6,4500,Fell,1910-01-01,31.61667,76.8,"(31.616670, 76.800000)"
Lishui,14659,Valid,Stony,Ordinary,L5,498,Fell,1978-01-01,31.63333,118.98333,"(31.633330, 118.983330)"
Axtell,4911,Valid,Stony,Carbonaceous,CV3,6200,Found,1943-01-01,31.66,-96.97167,"(31.660000, -96.971670)"
Eldee 002,47704,Valid,Stony,Ordinary,L6-melt breccia,101,Found,2006-01-01,-31.66417,141.23375,"(-31.664170, 141.233750)"
Dunbogan,7743,Valid,Stony,Ordinary,L6,30,Fell,1999-01-01,-31.66667,152.83333,"(-31.666670, 152.833330)"
Aoufous,2314,Valid,Stony,Achondrites,Eucrite-mmict,195,Found,2000-01-01,31.66667,-4.06667,"(31.666670, -4.066670)"
Bir Rebaa,5054,Valid,Stony,Ordinary,H6,7200,Found,1993-01-01,31.66667,8.41667,"(31.666670, 8.416670)"
Eldee 001,47703,Valid,Stony,Ordinary,L6,4514,Found,2006-01-01,-31.66997,141.24233,"(-31.669970, 141.242330)"
Cave Creek,5299,Valid,Stony,Ordinary,H4,1492,Found,1992-01-01,31.7045,-110.77917,"(31.704500, -110.779170)"
Hermitage Plains,11877,Valid,Stony,Ordinary,L6,32000,Found,1909-01-01,-31.73333,146.4,"(-31.733330, 146.400000)"
Fish Canyon,10106,Valid,Iron,Primitive Achondrites,"Iron, IAB complex",27.3,Found,1992-01-01,31.735,-110.75333,"(31.735000, -110.753330)"
Cranfills Gap,5464,Valid,Stony,Ordinary,H6,6000,Found,1940-01-01,31.75,-97.75,"(31.750000, -97.750000)"
Greaterville,11193,Valid,Stony,Ordinary,L4,48,Found,1995-01-01,31.76167,-110.75,"(31.761670, -110.750000)"
Ballinger,4930,Valid,Iron,Primitive Achondrites,"Iron, IAB-MG",1250,Found,1927-01-01,31.76667,-99.98333,"(31.766670, -99.983330)"
El Paso,7812,Valid,Stony,Ordinary,LL4,276,Found,1950-01-01,31.78333,-106.23333,"(31.783330, -106.233330)"
Atlanta,4886,Valid,Stony,Enstatite,EL6,5500,Found,1938-01-01,31.8,-92.75,"(31.800000, -92.750000)"
Ash Creek,48954,Valid,Stony,Ordinary,L6,9500,Fell,2009-01-01,31.805,-97.01,"(31.805000, -97.010000)"
Columbus,5411,Valid,Stony,Ordinary,H5,165,Found,1997-01-01,31.82967,-107.3945,"(31.829670, -107.394500)"
Broken Hill,5146,Valid,Stony,Ordinary,L6,34000,Found,1994-01-01,-31.83333,141.76667,"(-31.833330, 141.766670)"
Blanket,5071,Valid,Stony,Ordinary,L6,5100,Fell,1909-01-01,31.83333,-98.83333,"(31.833330, -98.833330)"
Bir Zar 004,48907,Valid,Stony,Ordinary,H6,19,Found,2008-01-01,31.87164,10.19361,"(31.871640, 10.193610)"
Distrito Quebracho,7649,Valid,Stony,Ordinary,H4,400,Fell,1957-01-01,-31.88333,-60.46667,"(-31.883330, -60.466670)"
Bir Zar 005,48908,Valid,Stony,Ordinary,H4,17,Found,2008-01-01,31.89689,10.19572,"(31.896890, 10.195720)"
Bir Zar 006,48909,Valid,Stony,Ordinary,H6,21,Found,2008-01-01,31.89831,10.19528,"(31.898310, 10.195280)"
Berduc,48975,Valid,Stony,Ordinary,L6,270,Fell,2008-01-01,-31.91,-58.32833,"(-31.910000, -58.328330)"
Jiange,12086,Valid,Stony,Ordinary,H5,222,Fell,1964-01-01,31.91667,104.91667,"(31.916670, 104.916670)"
Hueco Tanks,11923,Valid,Stony,Ordinary,L6,314,Found,1985-01-01,31.91667,-106.15,"(31.916670, -106.150000)"
Hueco Tanks (b),11924,Valid,Stony,Ordinary,H5,150,Found,1985-01-01,31.91667,-106.15,"(31.916670, -106.150000)"
Coyote Mountains,5459,Valid,Stony,Ordinary,H5,23.04,Found,1998-01-01,31.91667,-111.5,"(31.916670, -111.500000)"
Bir Zar 007,48910,Valid,Stony,Ordinary,L6,5.2,Found,2008-01-01,31.92181,10.1875,"(31.921810, 10.187500)"
Bir Zar 008,48911,Valid,Stony,Ordinary,H6,200,Found,2008-01-01,31.92644,10.18961,"(31.926440, 10.189610)"
Bir Zar 009,48912,Valid,Stony,Ordinary,H5-6,21,Found,2008-01-01,31.92644,10.18961,"(31.926440, 10.189610)"
Cocklebiddy,5392,Valid,Stony,Ordinary,H5,19500,Found,1949-01-01,-31.93333,126.21667,"(-31.933330, 126.216670)"
Bir Zar 002,48905,Valid,Stony,Ordinary,L4/5,331,Found,2008-01-01,31.93833,10.28403,"(31.938330, 10.284030)"
Pitts,18837,Valid,Iron,Primitive Achondrites,"Iron, IAB-ung",3760,Fell,1921-01-01,31.95,-83.51667,"(31.950000, -83.516670)"
Whetstone Mountains,49514,Valid,Stony,Ordinary,H5,2138.74,Fell,2009-01-01,31.96185,-110.434183,"(31.961850, -110.434183)"
Burrika,5176,Valid,Stony,Ordinary,L6,20.4,Found,1966-01-01,-31.96667,125.83333,"(-31.966670, 125.833330)"
Bouanane,52888,Valid,Stony,Ordinary,L6,1395,Found,2009-01-01,31.98333,-3.2,"(31.983330, -3.200000)"
Agoudal,57354,Valid,Iron,Achondrites,"Iron, IIAB",100000,Found,2000-01-01,31.98457,-5.51528,"(31.984570, -5.515280)"
Comanche (stone),5415,Valid,Stony,Ordinary,L5,2400,Found,1956-01-01,31.99167,-98.65167,"(31.991670, -98.651670)"
Ksar el Hajoui,53825,Valid,Stony,Ordinary,L6,3100,Found,2010-01-01,31.99317,-2.99347,"(31.993170, -2.993470)"
Concho,5417,Valid,Stony,Ordinary,L6,93500,Found,1939-01-01,32,-101.5,"(32.000000, -101.500000)"
Carver,5284,Valid,Iron,Achondrites,"Iron, IIAB",94000,Found,1935-01-01,32,-86,"(32.000000, -86.000000)"
Galleta Flat,52414,Valid,Stony,Ordinary,H4,392,Found,2009-01-01,32.00415,-110.37503,"(32.004150, -110.375030)"
Anthony Gap,56391,Valid,Stony,Ordinary,L6,347.36,Found,2011-01-01,32.00584,-106.56028,"(32.005840, -106.560280)"
Crocker's Well,5473,Valid,Stony,Ordinary,LL7,3.8,Found,1956-01-01,-32.01667,139.78333,"(-32.016670, 139.783330)"
St. Mark's,23090,Valid,Stony,Enstatite,EH5,13780,Fell,1903-01-01,-32.01667,27.41667,"(-32.016670, 27.416670)"
Comanche (iron),5414,Valid,Iron,Primitive Achondrites,"Iron, IAB-sLL",19700,Found,1940-01-01,32.01667,-98.7,"(32.016670, -98.700000)"
Lea County 001,12750,Valid,Stony,Ordinary,H5,498,Found,1988-01-01,32.03333,-103.15,"(32.033330, -103.150000)"
Lea County 002,12751,Valid,Stony,No Class,K3,11,Found,1988-01-01,32.03333,-103.16667,"(32.033330, -103.166670)"
Ethiudna,10060,Valid,Stony,Ordinary,L4,74318,Found,1977-01-01,-32.03333,139.78333,"(-32.033330, 139.783330)"
Burkett,5170,Valid,Iron,Primitive Achondrites,"Iron, IAB-MG",8400,Found,1913-01-01,32.03333,-99.25,"(32.033330, -99.250000)"
Lea County 003,12752,Valid,Stony,Ordinary,H4,4.91,Found,1999-01-01,32.04333,-103.15333,"(32.043330, -103.153330)"
Burnabbie,5173,Valid,Stony,Ordinary,H5,2515,Found,1965-01-01,-32.05,126.16667,"(-32.050000, 126.166670)"
Qidong,18907,Valid,Stony,Ordinary,L/LL5,1275,Fell,1982-01-01,32.08333,121.5,"(32.083330, 121.500000)"
Cardanumbi,5268,Valid,Stony,Ordinary,L5,6.4,Found,1966-01-01,-32.1,125.68333,"(-32.100000, 125.683330)"
Idutywa,12000,Valid,Stony,Ordinary,H5,3457,Fell,1956-01-01,-32.1,28.33333,"(-32.100000, 28.333330)"
Adhi Kot,379,Valid,Stony,Enstatite,EH4,4239,Fell,1919-01-01,32.1,71.8,"(32.100000, 71.800000)"
Claxton,5374,Valid,Stony,Ordinary,L6,1455,Fell,1984-01-01,32.1025,-81.87278,"(32.102500, -81.872780)"
Nantong,16907,Valid,Stony,Ordinary,H6,529,Fell,1984-01-01,32.11667,121.8,"(32.116670, 121.800000)"
Cockburn,5391,Valid,Stony,Ordinary,L6,2460,Found,1946-01-01,-32.13333,141.03333,"(-32.133330, 141.033330)"
Jay Bird Springs,47731,Valid,Stony-Iron,Achondrites,Pallasite,292,Found,2003-01-01,32.133333,-82.983333,"(32.133333, -82.983333)"
Cat Mountain,5297,Valid,Stony,Ordinary,L5,2700,Found,1981-01-01,32.14833,-111.11167,"(32.148330, -111.111670)"
Troup,24054,Valid,Stony,Ordinary,L6,1020,Fell,1917-01-01,32.16667,-95.1,"(32.166670, -95.100000)"
Malaga,15393,Valid,Stony,Ordinary,OC,150,Fell,1933-01-01,32.21667,-104,"(32.216670, -104.000000)"
Deming,55792,Valid,Stony,Ordinary,H5,784,Found,2009-01-01,32.22548,-107.90459,"(32.225480, -107.904590)"
Buffalo Gap,51831,Valid,Iron,Primitive Achondrites,"Iron, IAB-ung",9300,Found,2003-01-01,32.24611,-99.99306,"(32.246110, -99.993060)"
Benguerir,30443,Valid,Stony,Ordinary,LL6,25000,Fell,2004-01-01,32.25,-8.15,"(32.250000, -8.150000)"
Glen Rose (iron),10932,Valid,Iron,Achondrites,"Iron, ungrouped",11000,Found,1934-01-01,32.25,-97.71667,"(32.250000, -97.716670)"
Dos Cabezas,7721,Valid,Stony,Ordinary,L5,755,Found,1998-01-01,32.295,-109.67,"(32.295000, -109.670000)"
Zaoyang,30391,Valid,Stony,Ordinary,H5,14250,Fell,1984-01-01,32.3,112.75,"(32.300000, 112.750000)"
Alkali Flat,55662,Valid,Stony,Ordinary,L5,28,Found,2011-01-01,32.306,-108.9038,"(32.306000, -108.903800)"
Palahatchie,18073,Valid,Stony,Ordinary,OC,,Fell,1910-01-01,32.31667,-89.71667,"(32.316670, -89.716670)"
Cleburne,5377,Valid,Iron,Achondrites,"Iron, IVA",6800,Found,1907-01-01,32.31667,-97.41667,"(32.316670, -97.416670)"
Desert Willow,48655,Valid,Stony,Ordinary,H4/5,11.3,Found,2007-01-01,32.319,-111.077,"(32.319000, -111.077000)"
Frankel City,10175,Valid,Stony,Ordinary,L6,4700,Found,1977-01-01,32.33333,-102.745,"(32.333330, -102.745000)"
Xingyang,24346,Valid,Stony,Ordinary,H6,75500,Fell,1977-01-01,32.33333,114.31667,"(32.333330, 114.316670)"
Min-Fan-Zhun,16697,Valid,Stony,Ordinary,LL6,5500,Fell,1952-01-01,32.33333,120.66667,"(32.333330, 120.666670)"
Douar Mghila,7723,Valid,Stony,Ordinary,LL6,1161,Fell,1932-01-01,32.33333,-6.3,"(32.333330, -6.300000)"
Belville,5009,Valid,Stony,Ordinary,OC,,Fell,1937-01-01,-32.33333,-64.86667,"(-32.333330, -64.866670)"
Hickiwan,11881,Valid,Stony,Ordinary,H5,1928,Found,1974-01-01,32.35833,-112.40889,"(32.358330, -112.408890)"
Hinojal,11887,Valid,Stony,Ordinary,L6,50000,Found,1927-01-01,-32.36667,-60.15,"(-32.366670, -60.150000)"
Guangyuan,11438,Valid,Iron,Achondrites,Iron,,Found,1965-01-01,32.4,105.9,"(32.400000, 105.900000)"
Guanghua,11434,Valid,Iron,Achondrites,"Iron, IVA",190000,Found,1932-01-01,32.4,111.7,"(32.400000, 111.700000)"
Sixiangkou,23619,Valid,Stony,Ordinary,L5,630,Fell,1989-01-01,32.43333,119.86667,"(32.433330, 119.866670)"
Jackalsfontein,12065,Valid,Stony,Ordinary,L6,48000,Fell,1903-01-01,-32.5,21.9,"(-32.500000, 21.900000)"
Florey,10112,Valid,Stony,Ordinary,H6,110800,Found,1978-01-01,32.5225,-102.705,"(32.522500, -102.705000)"
Felix,10081,Valid,Stony,Carbonaceous,CO3.3,3200,Fell,1900-01-01,32.53333,-87.16667,"(32.533330, -87.166670)"
Ackerly,55379,Valid,Stony,Ordinary,L5,3046,Found,1995-01-01,32.59033,-101.77217,"(32.590330, -101.772170)"
Kaldoonera Hill,12233,Valid,Stony,Ordinary,H6,12000,Found,1956-01-01,-32.61667,134.85,"(-32.616670, 134.850000)"
Lakewood,12450,Valid,Stony,Ordinary,L6,46500,Found,1955-01-01,32.62972,-104.35,"(32.629720, -104.350000)"
Duncanville,7744,Valid,Stony,Ordinary,H,17800,Found,1961-01-01,32.63333,-96.86667,"(32.633330, -96.866670)"
Harleton,11830,Valid,Stony,Ordinary,L6,8360,Fell,1961-01-01,32.675,-94.51167,"(32.675000, -94.511670)"
Ksar Ghilane 001,54553,Valid,Stony,Ordinary,L6,5511,Found,2008-01-01,32.681,9.72872,"(32.681000, 9.728720)"
Gail,10843,Valid,Stony,Ordinary,H4,4650,Found,1948-01-01,32.7,-101.6,"(32.700000, -101.600000)"
Hobbs,11891,Valid,Stony,Ordinary,H4,2300,Found,1933-01-01,32.73333,-103.1,"(32.733330, -103.100000)"
Hobbs (b),11892,Valid,Stony,Ordinary,H5,1600,Found,1933-01-01,32.73333,-103.1,"(32.733330, -103.100000)"
Anoual,45975,Valid,Stony,Achondrites,Lunar,5.92,Found,2006-01-01,32.73458,-2.95797,"(32.734580, -2.957970)"
Renca,22587,Valid,Stony,Ordinary,L5,300,Fell,1925-01-01,-32.75,-65.28333,"(-32.750000, -65.283330)"
Ksar Ghilane 007,54558,Valid,Stony,Ordinary,H6,5381,Found,2011-01-01,32.75832,9.8593,"(32.758320, 9.859300)"
Merweville,15493,Valid,Stony,Ordinary,L5,6970,Found,1977-01-01,-32.75833,21.68333,"(-32.758330, 21.683330)"
Ksar Ghilane 008,54559,Valid,Stony,Ordinary,H5,295,Found,2011-01-01,32.76107,9.86632,"(32.761070, 9.866320)"
Ksar Ghilane 009,54560,Valid,Stony,Ordinary,H6,173,Found,2011-01-01,32.76277,9.86542,"(32.762770, 9.865420)"
Grandview,47730,Valid,Stony,Ordinary,L5,6400,Found,2008-01-01,32.788333,-101.938333,"(32.788333, -101.938333)"
Werdama,47344,Valid,Stony,Ordinary,H5,4000,Fell,2006-01-01,32.79732,21.78713,"(32.797320, 21.787130)"
Fluvanna (a),10116,Valid,Stony,Ordinary,L5,9500,Found,1967-01-01,32.8,-101.11667,"(32.800000, -101.116670)"
Ksar Ghilane 003,54554,Valid,Stony,Ordinary,L6,299,Found,2010-01-01,32.80157,9.8411,"(32.801570, 9.841100)"
Ksar Ghilane 010,55605,Valid,Stony,Ordinary,L5,50.1,Found,2012-01-01,32.806,9.833,"(32.806000, 9.833000)"
Ksar Ghilane 002,54564,Valid,Stony,Achondrites,Martian (shergottite),538,Found,2010-01-01,32.80625,9.83283,"(32.806250, 9.832830)"
Ksar Ghilane 006,54557,Valid,Stony,Ordinary,H4,26,Found,2011-01-01,32.80628,9.83767,"(32.806280, 9.837670)"
Cocunda,5393,Valid,Stony,Ordinary,L6,482,Found,1945-01-01,-32.81667,134.8,"(-32.816670, 134.800000)"
Ksar Ghilane 004,54555,Valid,Stony,Ordinary,H5,335,Found,2010-01-01,32.81755,9.95518,"(32.817550, 9.955180)"
Gaines County Park,10844,Valid,Stony,Ordinary,H5,13700,Found,1977-01-01,32.83333,-102.73333,"(32.833330, -102.733330)"
Millen,16644,Valid,Stony,Ordinary,H4,40800,Found,1975-01-01,32.83528,-81.87389,"(32.835280, -81.873890)"
Lueders,14750,Valid,Iron,Primitive Achondrites,"Iron, IAB-MG",35400,Found,1973-01-01,32.83611,-99.60417,"(32.836110, -99.604170)"
Ksar Ghilane 005,54556,Valid,Stony,Ordinary,L6,73,Found,2010-01-01,32.84078,9.90705,"(32.840780, 9.907050)"
Beni M'hira,5018,Valid,Stony,Ordinary,L6,19000,Fell,2001-01-01,32.86667,10.8,"(32.866670, 10.800000)"
Imperial,12026,Valid,Stony,Ordinary,H4,4,Found,1908-01-01,32.86667,-115.58333,"(32.866670, -115.583330)"
Lamesa,12452,Valid,Iron,Primitive Achondrites,"Iron, IAB-sLM",16900,Found,1981-01-01,32.88333,-101.88333,"(32.883330, -101.883330)"
Ksar Ghilane 011,55606,Valid,Stony,Ordinary,L4,25.6,Found,2012-01-01,32.891,9.913,"(32.891000, 9.913000)"
Ashmore,2349,Valid,Stony,Ordinary,H5,55400,Found,1969-01-01,32.9,-102.28333,"(32.900000, -102.283330)"
Loop,14702,Valid,Stony,Ordinary,L6,5600,Found,1962-01-01,32.9,-102.28333,"(32.900000, -102.283330)"
Alamogordo,449,Valid,Stony,Ordinary,H5,13600,Found,1938-01-01,32.9,-105.93333,"(32.900000, -105.933330)"
Fuyang,10840,Valid,Stony,Unclassified,Stone-uncl,2500,Fell,1977-01-01,32.9,115.9,"(32.900000, 115.900000)"
Fluvanna (b),10117,Valid,Stony,Ordinary,H6,4110,Found,1976-01-01,32.90333,-101.16278,"(32.903330, -101.162780)"
Dongtai,7708,Valid,Stony,Ordinary,LL6,5500,Fell,1970-01-01,32.91667,120.78333,"(32.916670, 120.783330)"
Menindee Lakes 002,15480,Valid,Stony,Ordinary,H5,270,Found,1969-01-01,-32.91667,141.88333,"(-32.916670, 141.883330)"
Menindee Lakes 003,15481,Valid,Stony,Ordinary,L6,172,Found,1969-01-01,-32.91667,141.88333,"(-32.916670, 141.883330)"
Menindee Lakes 005,15483,Valid,Stony,Ordinary,H5,72.9,Found,1969-01-01,-32.91667,141.88333,"(-32.916670, 141.883330)"
Menindee Lakes 006,15484,Valid,Stony,Ordinary,H6,68.2,Found,1969-01-01,-32.91667,141.88333,"(-32.916670, 141.883330)"
Cargo Muchacho Mountains,50912,Valid,Stony,Carbonaceous,CO3,2860,Found,2000-01-01,32.91745,-114.767183,"(32.917450, -114.767183)"
McKenzie Draw (a),15461,Valid,Stony,Ordinary,H4,11800,Found,1989-01-01,32.925,-102.625,"(32.925000, -102.625000)"
McKenzie Draw (b),15462,Valid,Stony,Ordinary,H4,2990,Found,1989-01-01,32.925,-102.625,"(32.925000, -102.625000)"
Ningqiang,16981,Valid,Stony,Carbonaceous,C3-ung,4610,Fell,1983-01-01,32.925,105.90667,"(32.925000, 105.906670)"
Tianzhang,23984,Valid,Stony,Ordinary,H5,2232,Fell,1986-01-01,32.94667,118.99,"(32.946670, 118.990000)"
Tatahouine,23884,Valid,Stony,Achondrites,Diogenite,12000,Fell,1931-01-01,32.95,10.41667,"(32.950000, 10.416670)"
Buckleboo,5160,Valid,Stony,Ordinary,H6,992,Found,1963-01-01,-32.95556,136.1375,"(-32.955560, 136.137500)"
Loop (c),14704,Valid,Stony,Ordinary,OC,861,Found,1964-01-01,32.98333,-102.38833,"(32.983330, -102.388330)"
Loop (b),14703,Valid,Stony,Ordinary,H,1600,Found,1964-01-01,32.99167,-102.38833,"(32.991670, -102.388330)"
Bowden,5122,Valid,Stony,Ordinary,H5,603,Found,1907-01-01,-33,26.4,"(-33.000000, 26.400000)"
Baygorria,4980,Valid,Iron,Primitive Achondrites,"Iron, IAB complex",80000,Found,1994-01-01,-33,-56,"(-33.000000, -56.000000)"
Gualeguaych�,11432,Valid,Stony,Ordinary,H6,22000,Fell,1932-01-01,-33,-58.61667,"(-33.000000, -58.616670)"
Arbol Solo,2325,Valid,Stony,Ordinary,H5,810,Fell,1954-01-01,-33,-66,"(-33.000000, -66.000000)"
La Luz,48962,Valid,Stony,Ordinary,H4,4798,Found,2005-01-01,33.00383,-105.85083,"(33.003830, -105.850830)"
Chocolate Mountains,52013,Valid,Stony,Primitive Achondrites,Ureilite,699,Found,2004-01-01,33.01222,-114.86667,"(33.012220, -114.866670)"
Gila Bend,30664,Valid,Stony,Ordinary,L5,3700,Found,2000-01-01,33.03333,-112.61667,"(33.033330, -112.616670)"
Lake Grace,12443,Valid,Stony,Ordinary,L6,10500,Found,1956-01-01,-33.06667,118.21667,"(-33.066670, 118.216670)"
Coronel Arnold,5445,Valid,Stony,Ordinary,L,450,Found,1962-01-01,-33.06667,-61,"(-33.066670, -61.000000)"
Denver City,6661,Valid,Iron,Achondrites,"Iron, ungrouped",26100,Found,1975-01-01,33.07139,-102.80028,"(33.071390, -102.800280)"
Foster,10170,Valid,Stony,Ordinary,H4,1992,Found,1975-01-01,33.1,-102.26667,"(33.100000, -102.266670)"
Allred,2280,Valid,Stony,Ordinary,L4,6570,Found,1978-01-01,33.1,-102.95,"(33.100000, -102.950000)"
Casilda,5288,Valid,Stony,Ordinary,H5,5250,Found,1937-01-01,-33.1,-61.13333,"(-33.100000, -61.133330)"
Allen,2277,Valid,Stony,Ordinary,H4,1407,Found,1923-01-01,33.1,-96.7,"(33.100000, -96.700000)"
Grassland,10959,Valid,Stony,Ordinary,L4,4400,Found,1964-01-01,33.11667,-101.58333,"(33.116670, -101.583330)"
El Timbu,7820,Valid,Iron,Achondrites,Iron,500000,Found,1942-01-01,-33.11667,-60.96667,"(-33.116670, -60.966670)"
Laochenzhen,12466,Valid,Stony,Ordinary,H5,14250,Fell,1987-01-01,33.13333,115.16667,"(33.133330, 115.166670)"
Menindee Lakes 004,15482,Valid,Stony,Ordinary,L6,158.5,Found,1969-01-01,-33.13333,141.71667,"(-33.133330, 141.716670)"
Brownfield (c),5153,Valid,Stony,Ordinary,OC,1550,Found,1974-01-01,33.135,-102.27833,"(33.135000, -102.278330)"
Binningup,5051,Valid,Stony,Ordinary,H5,488.1,Fell,1984-01-01,-33.15639,115.67639,"(-33.156390, 115.676390)"
Menindee Lakes 001,15479,Valid,Stony,Ordinary,L6,747,Found,1969-01-01,-33.16667,141.75,"(-33.166670, 141.750000)"
Achiras,370,Valid,Stony,Ordinary,L6,780,Fell,1902-01-01,-33.16667,-64.95,"(-33.166670, -64.950000)"
Gomez,10944,Valid,Stony,Ordinary,L6,47000,Found,1974-01-01,33.18139,-102.40139,"(33.181390, -102.401390)"
Sylacauga,23773,Valid,Stony,Ordinary,H4,5560,Fell,1954-01-01,33.18836,-86.2945,"(33.188360, -86.294500)"
Haskell,11849,Valid,Stony,Ordinary,L5,36000,Found,1909-01-01,33.21333,-99.73167,"(33.213330, -99.731670)"
Brownfield (1964),5152,Valid,Stony,Ordinary,H5,4100,Found,1964-01-01,33.21667,-102.18333,"(33.216670, -102.183330)"
Brownfield (iron),5154,Valid,Iron,Achondrites,"Iron, IID",1626,Found,1960-01-01,33.21667,-102.18333,"(33.216670, -102.183330)"
Brownfield (1937),5151,Valid,Stony,Ordinary,H3.7,40960,Found,1937-01-01,33.21667,-102.18333,"(33.216670, -102.183330)"
Kimba,12310,Valid,Stony,Ordinary,H4,1492,Found,1997-01-01,-33.21667,136.41667,"(-33.216670, 136.416670)"
En Naffatiyah,52012,Valid,Stony,Ordinary,L6,87.2,Found,2007-01-01,33.21888,10.83445,"(33.218880, 10.834450)"
Chandler,53491,Valid,Stony,Ordinary,L6,350.4,Found,2009-01-01,33.24558,-111.89633,"(33.245580, -111.896330)"
Hezma,44713,Valid,Stony,Ordinary,L5/6,62,Found,2002-01-01,33.25,10.46667,"(33.250000, 10.466670)"
Maricopa,15420,Valid,Stony,Ordinary,H,50,Found,1980-01-01,33.25,-112.05,"(33.250000, -112.050000)"
Kappakoola,12252,Valid,Stony,Ordinary,H6,392.5,Found,1929-01-01,-33.25,135.53333,"(-33.250000, 135.533330)"
Metameur 004,54852,Valid,Stony,Ordinary,H6,10,Found,2010-01-01,33.25027,10.38917,"(33.250270, 10.389170)"
Borrego,5115,Valid,Stony,Ordinary,L6,2126,Found,1930-01-01,33.26667,-116.38333,"(33.266670, -116.383330)"
Bronco (b),5148,Valid,Stony,Ordinary,OC,101,Found,1980-01-01,33.275,-102.96,"(33.275000, -102.960000)"
Bronco (c),5149,Valid,Stony,Ordinary,OC,53,Found,1980-01-01,33.275,-102.96,"(33.275000, -102.960000)"
Bronco,5147,Valid,Stony,Ordinary,OC,972,Found,1971-01-01,33.28333,-102.96667,"(33.283330, -102.966670)"
Kyancutta,12386,Valid,Iron,Achondrites,"Iron, IIIAB",32700,Found,1932-01-01,-33.28333,136,"(-33.283330, 136.000000)"
Lost Draw,14713,Valid,Stony,Ordinary,OC,309,Found,1980-01-01,33.28944,-102.54306,"(33.289440, -102.543060)"
Gundaring,11452,Valid,Iron,Achondrites,"Iron, IIIAB",112500,Found,1937-01-01,-33.3,117.66667,"(-33.300000, 117.666670)"
Kanzaki,12250,Valid,Stony,Ordinary,H,483,Found,1905-01-01,33.3,130.36667,"(33.300000, 130.366670)"
Cowell,5457,Valid,Iron,Achondrites,"Iron, IIIAB",5717,Found,1932-01-01,-33.3,136.01667,"(-33.300000, 136.016670)"
Meadow (b),15466,Valid,Stony,Ordinary,L6,691,Found,1981-01-01,33.33139,-102.26889,"(33.331390, -102.268890)"
