name,id,nametype,type,class,group,mass (g),fall,year,reclat,reclong,GeoLocation
Gunnadorah 010,11463,Valid,Stony,Ordinary,H5,1.3,Found,1994-01-01,-30.46667,126.33333,"(-30.466670, 126.333330)"
Forrest 004,10127,Valid,Stony,Ordinary,L6,64,Found,1970-01-01,-30.46667,128.2,"(-30.466670, 128.200000)"
Hughes 057,11981,Valid,Stony,Ordinary,L5,74.3,Found,1993-01-01,-30.46667,129.68333,"(-30.466670, 129.683330)"
Hughes 052,11976,Valid,Stony,Ordinary,L5,458.3,Found,1993-01-01,-30.46667,129.71667,"(-30.466670, 129.716670)"
Hughes 053,11977,Valid,Stony,Ordinary,L5,68.9,Found,1993-01-01,-30.46667,129.78333,"(-30.466670, 129.783330)"
Hughes 054,11978,Valid,Stony,Ordinary,L5,311.2,Found,1993-01-01,-30.46667,129.8,"(-30.466670, 129.800000)"
Hughes 055,11979,Valid,Stony,Ordinary,L5,664.4,Found,1993-01-01,-30.46667,129.8,"(-30.466670, 129.800000)"
Gunnadorah 004,11457,Valid,Stony,Ordinary,H5,47.35,Found,1994-01-01,-30.46717,126.34367,"(-30.467170, 126.343670)"
Deakin 004,6628,Valid,Stony,Ordinary,H4,127.9,Found,1986-01-01,-30.47,128.745,"(-30.470000, 128.745000)"
Gunnadorah 005,11458,Valid,Stony,Ordinary,L6,40.37,Found,1994-01-01,-30.47483,126.35883,"(-30.474830, 126.358830)"
Gunnadorah 006,11459,Valid,Stony,Ordinary,L6,16.01,Found,1994-01-01,-30.47483,126.35883,"(-30.474830, 126.358830)"
Gunnadorah 007,11460,Valid,Stony,Ordinary,L6,3.26,Found,1994-01-01,-30.48033,126.347,"(-30.480330, 126.347000)"
Gunnadorah 008,11461,Valid,Stony,Ordinary,H6,6.13,Found,1994-01-01,-30.48083,126.34633,"(-30.480830, 126.346330)"
Gunnadorah 009,11462,Valid,Stony,Ordinary,H6,0.4,Found,1994-01-01,-30.48083,126.34633,"(-30.480830, 126.346330)"
Hughes 056,11980,Valid,Stony,Ordinary,L5,186.8,Found,1993-01-01,-30.48333,129.63333,"(-30.483330, 129.633330)"
Gunnadorah 003,11456,Valid,Stony,Ordinary,L6,2.81,Found,1994-01-01,-30.49967,126.22183,"(-30.499670, 126.221830)"
Junction,12212,Valid,Stony,Ordinary,L5,241,Found,1932-01-01,30.5,-99.83333,"(30.500000, -99.833330)"
Gheriat 002,10910,Valid,Stony,Ordinary,L6,1125,Found,1990-01-01,30.50667,12.215,"(30.506670, 12.215000)"
Cook 006,5426,Valid,Stony,Ordinary,L4,41.8,Found,1991-01-01,-30.50683,130.404,"(-30.506830, 130.404000)"
Cook 009,5428,Valid,Stony,Ordinary,H4,84.2,Found,1991-01-01,-30.50683,130.404,"(-30.506830, 130.404000)"
Greenwell Springs,11195,Valid,Stony,Ordinary,LL4,664,Found,1987-01-01,30.51528,-91.01222,"(30.515280, -91.012220)"
Hughes 015,11939,Valid,Stony,Ordinary,L3.8,31.2,Found,1991-01-01,-30.51667,129.192,"(-30.516670, 129.192000)"
Hughes 014,11938,Valid,Stony,Ordinary,L5/6,57.5,Found,1991-01-01,-30.51867,129.54017,"(-30.518670, 129.540170)"
Llano River,53635,Valid,Iron,Achondrites,"Iron, IIIAB",4318,Found,1975-01-01,30.52213,-99.73698,"(30.522130, -99.736980)"
Deakin 005,6629,Valid,Stony,Ordinary,H5,77,Found,1989-01-01,-30.53333,128.56667,"(-30.533330, 128.566670)"
Lake Labyrinth,12444,Valid,Stony,Ordinary,LL6,25850,Found,1924-01-01,-30.53333,134.75,"(-30.533330, 134.750000)"
Hughes 024,11948,Valid,Stony,Ordinary,L5,333,Found,1991-01-01,-30.53367,129.42417,"(-30.533670, 129.424170)"
Loongana 003,14701,Valid,Stony,Ordinary,L5,58,Found,1990-01-01,-30.53583,127.33967,"(-30.535830, 127.339670)"
Hammadah al Hamra 338,35517,Valid,Stony,Ordinary,H5,752.5,Found,2003-01-01,30.545,13.58194,"(30.545000, 13.581940)"
Hughes 016,11940,Valid,Stony,Ordinary,L6,58,Found,1991-01-01,-30.547,129.18917,"(-30.547000, 129.189170)"
Hughes 046,11970,Valid,Stony,Ordinary,H5,96.9,Found,1993-01-01,-30.55,129.65,"(-30.550000, 129.650000)"
Big Rock Donga,5044,Valid,Stony,Ordinary,H6,19000,Found,1970-01-01,-30.55,130.96667,"(-30.550000, 130.966670)"
Agoult,395,Valid,Stony,Achondrites,Eucrite,82,Found,2000-01-01,30.55,-4.9,"(30.550000, -4.900000)"
Hughes 017,11941,Valid,Stony,Ordinary,H6,138,Found,1991-01-01,-30.55167,129.22133,"(-30.551670, 129.221330)"
Hughes 027,11951,Valid,Stony,Ordinary,H5,68,Found,1993-01-01,-30.55667,129.63867,"(-30.556670, 129.638670)"
Hughes 002,11926,Valid,Stony,Ordinary,L6,1074,Found,,-30.56667,129.63333,"(-30.566670, 129.633330)"
Hughes 018,11942,Valid,Stony,Ordinary,H5/6,53.5,Found,1991-01-01,-30.568,129.713,"(-30.568000, 129.713000)"
Hughes 007,11931,Valid,Stony,Primitive Achondrites,Ureilite,58,Found,1991-01-01,-30.56833,129.6375,"(-30.568330, 129.637500)"
Hughes 006,11930,Valid,Stony,Ordinary,H5,367,Found,1991-01-01,-30.57,129.31467,"(-30.570000, 129.314670)"
Deakin 010,55718,Valid,Stony,Achondrites,Eucrite-mmict,438,Found,1988-01-01,-30.573,128.56367,"(-30.573000, 128.563670)"
Deakin 006,6630,Valid,Stony,Ordinary,H4/5,274,Found,1989-01-01,-30.58333,128.66667,"(-30.583330, 128.666670)"
Britstown,5144,Valid,Iron,Primitive Achondrites,"Iron, IAB-ung",544,Found,1910-01-01,-30.58333,23.55,"(-30.583330, 23.550000)"
Hughes 004,11928,Valid,Stony,Achondrites,Howardite,304,Found,1991-01-01,-30.58517,129.58667,"(-30.585170, 129.586670)"
Denman 001,6651,Valid,Stony,Ordinary,L5,,Found,1991-01-01,-30.59694,130.08694,"(-30.596940, 130.086940)"
